ID,material_ID,plant_ID,unrestrictedQty,reservedQty
10000000-0000-0000-0000-000000000001,11111111-1111-1111-1111-111111111111,aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,120,90
10000000-0000-0000-0000-000000000002,11111111-1111-1111-1111-111111111111,bbbbbbbb-bbbb-bbbb-bbbb-bbbbbbbbbbbb,450,50
10000000-0000-0000-0000-000000000003,11111111-1111-1111-1111-111111111111,cccccccc-cccc-cccc-cccc-cccccccccccc,210,20
10000000-0000-0000-0000-000000000004,22222222-2222-2222-2222-222222222222,aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,40,35
10000000-0000-0000-0000-000000000005,22222222-2222-2222-2222-222222222222,bbbbbbbb-bbbb-bbbb-bbbb-bbbbbbbbbbbb,180,30
10000000-0000-0000-0000-000000000006,33333333-3333-3333-3333-333333333333,aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,150,40
10000000-0000-0000-0000-000000000007,33333333-3333-3333-3333-333333333333,cccccccc-cccc-cccc-cccc-cccccccccccc,30,10
10000000-0000-0000-0000-000000000008,44444444-4444-4444-4444-444444444444,aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,25,10
10000000-0000-0000-0000-000000000009,44444444-4444-4444-4444-444444444444,bbbbbbbb-bbbb-bbbb-bbbb-bbbbbbbbbbbb,200,30
10000000-0000-0000-0000-000000000010,55555555-5555-5555-5555-555555555555,aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,20,5
10000000-0000-0000-0000-000000000011,55555555-5555-5555-5555-555555555555,cccccccc-cccc-cccc-cccc-cccccccccccc,120,10
